Period,,Balance,,,Exports,,, Imports,
,Total,Goods 1,Services,Total,Goods 1,Services,Total,Goods 1,Services
Annual,,,,,,,,,
2021 Jan  ,"-62,826","-85,276","22,450","199,093","135,365","63,728","261,919","220,640","41,278"
2021 Feb  ,"-65,630","-87,752","22,122","195,739","132,130","63,609","261,369","219,882","41,487"
2021 Mar  ,"-65,658","-87,442","21,784","208,951","144,297","64,654","274,608","231,739","42,870"
2021 Apr  ,"-65,115","-86,406","21,290","209,117","143,988","65,129","274,233","230,394","43,839"
2021 May  ,"-65,779","-87,414","21,635","211,641","145,057","66,584","277,420","232,471","44,949"
2021 Jun  ,"-71,187","-92,228","21,041","214,009","146,051","67,958","285,196","238,279","46,917"
2021 Jul  ,"-69,169","-87,418","18,250","216,286","147,843","68,443","285,455","235,262","50,193"
2021 Aug  ,"-72,588","-90,075","17,486","217,728","148,824","68,905","290,317","238,898","51,418"
2021 Sep  ,"-74,657","-93,608","18,951","214,183","144,609","69,574","288,840","238,217","50,623"
2021 Oct  ,"-66,003","-85,158","19,155","228,772","158,249","70,523","294,775","243,407","51,368"
2021 Nov  ,"-79,425","-100,024","20,599","231,756","157,938","73,818","311,181","257,962","53,219"
2021 Dec  ,"-79,238","-100,390","21,153","236,793","161,501","75,292","316,030","261,891","54,139"
2022 Jan  ,"-83,599","-105,064","21,465","232,637","158,136","74,501","316,236","263,200","53,036"
2022 Feb  ,"-84,685","-104,529","19,845","237,005","161,463","75,542","321,690","265,993","55,697"
2022 Mar  ,"-99,398","-119,981","20,583","248,299","171,473","76,826","347,697","291,454","56,243"
2022 Apr  ,"-82,878","-103,845","20,968","256,715","177,771","78,944","339,592","281,617","57,976"
2022 May  ,"-82,157","-102,177","20,020","259,050","179,951","79,099","341,207","282,128","59,079"
2022 Jun  ,"-79,785","-99,398","19,613","262,615","182,582","80,034","342,400","281,980","60,420"
2022 Jul  ,"-68,396","-88,655","20,259","265,032","183,650","81,382","333,428","272,305","61,123"
2022 Aug  ,"-66,959","-87,630","20,671","265,216","183,131","82,085","332,175","270,762","61,414"
2022 Sep  ,"-67,781","-88,770","20,989","262,473","179,796","82,676","330,254","268,566","61,688"
2022 Oct  ,"-74,773","-96,831","22,058","259,671","175,966","83,705","334,444","272,797","61,647"
2022 Nov  ,"-62,798","-84,760","21,962","256,225","172,425","83,800","319,022","257,185","61,838"
2022 Dec  ,"-70,521","-92,925","22,404","253,508","169,230","84,278","324,029","262,155","61,874"
2023 Jan  ,"-68,800","-91,071","22,271","259,974","175,518","84,456","328,774","266,589","62,185"
2023 Feb  ,"-69,202","-92,171","22,969","254,337","169,282","85,055","323,539","261,453","62,086"
2023 Mar  ,"-58,587","-81,937","23,351","259,541","174,112","85,429","318,127","256,049","62,079"
2023 Apr  ,"-71,110","-93,950","22,840","253,608","167,547","86,061","324,718","261,497","63,222"
2023 May  ,"-65,814","-89,397","23,584","252,569","165,994","86,575","318,383","255,391","62,992"
2023 Jun  ,"-65,163","-88,851","23,688","251,879","164,797","87,082","317,042","253,648","63,394"
2023 Jul  ,"-63,759","-88,294","24,535","255,576","168,286","87,290","319,335","256,580","62,755"
2023 Aug  ,"-59,165","-84,221","25,055","259,963","172,138","87,825","319,128","256,358","62,770"
2023 Sep  ,"-59,565","-83,759","24,194","263,533","175,342","88,191","323,098","259,101","63,997"
2023 Oct  ,"-64,100","-87,230","23,130","262,463","174,325","88,138","326,563","261,555","65,008"
2023 Nov  ,"-65,053","-88,444","23,391","257,254","168,469","88,785","322,307","256,913","65,394"
2023 Dec  ,"-63,888","-88,171","24,284","261,838","171,647","90,191","325,726","259,819","65,907"
2024 Jan  ,"-67,077","-92,640","25,562","261,796","170,216","91,579","328,873","262,856","66,017"
2024 Feb  ,"-66,431","-92,390","25,959","269,323","175,344","93,979","335,754","267,734","68,021"
2024 Mar  ,"-66,266","-93,122","26,857","265,638","171,506","94,131","331,904","264,629","67,275"
2024 Apr  ,"-73,110","-98,957","25,847","266,393","173,037","93,356","339,503","271,994","67,509"
2024 May  ,"-74,456","-100,630","26,174","264,976","170,321","94,655","339,432","270,951","68,481"
2024 Jun  ,"-73,892","-99,563","25,671","268,356","173,318","95,039","342,248","272,881","69,367"
2024 Jul  ,"-78,639","-104,350","25,711","271,115","174,671","96,444","349,754","279,021","70,733"
2024 Aug  ,"-71,214","-97,117","25,904","275,719","177,954","97,765","346,933","275,071","71,862"
2024 Sep  ,"-81,498","-107,722","26,224","273,687","175,484","98,203","355,185","283,206","71,979"
2024 Oct  ,"-74,250","-100,088","25,839","269,501","170,941","98,560","343,751","271,029","72,722"
2024 Nov  ,"-79,752","-106,002","26,249","275,828","176,509","99,319","355,580","282,510","73,070"
2024 Dec  ,"-96,948","-122,822","25,874","270,192","170,476","99,715","367,140","293,299","73,841"
2025 Jan,"-128,801","-156,077","27,276","273,946","173,735","100,210","402,746","329,812","72,934"
2025 Feb,"-120,278","-147,190","26,912","280,908","180,967","99,940","401,186","328,158","73,029"
2025 Mar,"-136,419","-162,517","26,097","283,593","184,226","99,367","420,013","346,743","73,270"
2025 Apr,"-60,191","-86,912","26,721","291,785","190,893","100,893","351,977","277,805","74,172"
2025 May,"-71,116","-97,352","26,236","280,391","180,093","100,298","351,506","277,444","74,062"
2025 Jun,"-59,086","-85,717","26,631","279,650","179,217","100,433","338,736","264,934","73,802"
2025 Jul (R)  ,"-78,154","-103,723","25,569","280,602","179,549","101,053","358,756","283,272","75,484"
2025 Aug,"-59,550","-85,608","26,058","280,832","179,019","101,813","340,382","264,627","75,755"
